family,family_label,feature_name,mean_pr_auc_decrease_across_folds,fold_sample_sd,min_fold_decrease,max_fold_decrease,positive_fold_count,mean_repeat_sample_sd,mean_fold_baseline_pr_auc,duplicate_rows_dropped_total,rank_within_family
rbf_svm,SVM RBF,delta_roa_1y,0.0132781556785,0.00593952517436,0.00551486936448,0.0209780687205,6,0.00427551585572,0.399187180462,5,8
rbf_svm,SVM RBF,accruals_to_assets_t,0.0122883533152,0.00862110903032,0.00431297376266,0.0268786710552,6,0.0047917185872,0.399187180462,5,9
rbf_svm,SVM RBF,log_assets_t,0.0104070985471,0.00854535335984,0.00293126868543,0.024965154481,6,0.00543418192745,0.399187180462,5,10
rbf_svm,SVM RBF,working_capital_to_assets_t,0.00952733898177,0.00273184179181,0.00663709090987,0.0137816317181,6,0.00398613203427,0.399187180462,5,11
rbf_svm,SVM RBF,ocf_to_assets_t,0.00879728382249,0.00653905682859,-0.0021596178197,0.0153685697376,5,0.00624936287851,0.399187180462,5,12
rbf_svm,SVM RBF,roa_t,0.00874554137693,0.00644353321328,0.00170767881736,0.0190461313258,6,0.00351345742362,0.399187180462,5,13
rbf_svm,SVM RBF,delta_liabilities_to_assets_1y,0.0049472910262,0.00317546621128,0.00162787953763,0.00882264716998,6,0.00309050118104,0.399187180462,5,14
rbf_svm,SVM RBF,asset_growth_1y,0.00366036943976,0.00389916048193,-0.000234517399342,0.0103261555865,5,0.00342352054885,0.399187180462,5,15
rbf_svm,SVM RBF,liabilities_to_assets_t,0.00298594740764,0.00671864586976,-0.00833741213756,0.0114153529509,5,0.00248090085404,0.399187180462,5,16
rbf_svm,SVM RBF,asset_turnover_t,0.001381335195,0.00330653382004,-0.00333006186317,0.00514203743583,4,0.00245443046963,0.399187180462,5,17
xgboost,XGBoost,log1p_revenues_t,0.0290546340717,0.0139762979555,0.00645662606981,0.046812777473,6,0.0139289936041,0.415129628225,5,1
xgboost,XGBoost,log_assets_t,0.0212035868784,0.00512652898559,0.0134310671627,0.0267748217618,6,0.00987234787047,0.415129628225,5,2
xgboost,XGBoost,roa_t,0.0136296644365,0.00999149429165,-0.00438400859138,0.0213767189675,5,0.00803638367084,0.415129628225,5,3
xgboost,XGBoost,current_ratio_t,0.0129621389282,0.0125879912234,-0.00297840598061,0.028814672251,4,0.00502811174722,0.415129628225,5,4
xgboost,XGBoost,working_capital_to_assets_t,0.00948643154474,0.0147727030691,-0.00634793043519,0.034559633864,4,0.00399470989429,0.415129628225,5,5
xgboost,XGBoost,current_ratio_change_1y,0.00790667430904,0.00599072366312,0.000945305945769,0.0162831427876,6,0.00446973825937,0.415129628225,5,6
xgboost,XGBoost,delta_roa_1y,0.00681684383859,0.00623650475208,0.000856389076979,0.0171108363892,6,0.0051347730804,0.415129628225,5,7
xgboost,XGBoost,revenue_growth_1y,0.00649540625487,0.00249499808081,0.0033257451514,0.01027521338,6,0.00536580666481,0.415129628225,5,8
xgboost,XGBoost,ocf_to_assets_t,0.0044090620666,0.00287249621173,0.000214502692141,0.00786854782126,6,0.00307796309546,0.415129628225,5,9
xgboost,XGBoost,delta_ocf_to_assets_1y,0.00324336359073,0.00655519580543,-0.00129802978328,0.0161243333095,4,0.00237106984143,0.415129628225,5,10
xgboost,XGBoost,ocf_margin_t,0.00297119874274,0.00465791232022,-0.00287493869582,0.00756880003784,4,0.00381891565688,0.415129628225,5,11
xgboost,XGBoost,profit_margin_t,0.00190163462393,0.00265077026978,-0.00280132198353,0.00444485518811,5,0.00320639792382,0.415129628225,5,12
xgboost,XGBoost,accruals_to_assets_t,0.00129081849131,0.00334842279572,-0.00383351222571,0.00528340210043,4,0.00267293425561,0.415129628225,5,13
xgboost,XGBoost,delta_liabilities_to_assets_1y,0.000688196358739,0.00207084267296,-0.00184799041645,0.00397359901517,3,0.0010644228249,0.415129628225,5,14
xgboost,XGBoost,liabilities_to_assets_t,0.000118570184348,0.00111562659128,-0.00111899186479,0.0019302543298,4,0.000802215328929,0.415129628225,5,15
xgboost,XGBoost,asset_turnover_t,-0.000386780371838,0.00256970137575,-0.00453496992373,0.00198223227044,3,0.00223422436755,0.415129628225,5,16
xgboost,XGBoost,asset_growth_1y,-0.000435670386909,0.00109249116501,-0.00144065713823,0.00121614376604,2,0.00170442263578,0.415129628225,5,17
