cecha,blok,feature_year,n,n_finite,n_pominiete,median,P25,P75,missingness_pct
profit_margin_t,R,2015,2241,2115,126,0.0156051761266815,-0.2157829285817954,0.07091054970016461,5.622489959839357
profit_margin_t,R,2016,2133,2002,131,0.010053410978362601,-0.24918027107106042,0.06895741897755715,6.14158462259728
profit_margin_t,R,2017,1549,1430,119,0.01541456924804235,-0.1564080991487115,0.07034205549647192,7.6823757262750165
profit_margin_t,R,2018,1511,1355,156,0.0181977754279506,-0.20877052707416416,0.0779443187394334,10.324288550628722
profit_margin_t,R,2019,1638,1467,171,0.0121028626578042,-0.2384139405571794,0.07016687796655016,10.43956043956044
profit_margin_t,R,2020,1688,1564,124,-0.0037382525238134,-0.3385717780793653,0.0637313800481615,7.345971563981042
ocf_margin_t,R,2011,1907,1797,110,0.0683609676542537,-0.0051677184574653,0.1563052354446234,5.768222338751967
ocf_margin_t,R,2012,2311,1975,336,0.0718519142720709,-0.00648887788704215,0.14816847590567075,14.539160536564259
ocf_margin_t,R,2013,2393,2199,194,0.0722895622824205,-0.007785864597820651,0.14621560729296684,8.106978687839533
ocf_margin_t,R,2014,2300,2187,113,0.0667749087916272,-0.033062629421913,0.14322649074698166,4.913043478260869
ocf_margin_t,R,2015,2241,2119,122,0.0675825860434606,-0.0479943939399977,0.14246013149773867,5.443998215082552
ocf_margin_t,R,2016,2133,2038,95,0.06716852395325655,-0.05552473035662395,0.1463679521039203,4.453820909517113
ocf_margin_t,R,2017,1549,1440,109,0.0607032158353186,-0.028583547977798975,0.12818211695618328,7.036797934151065
ocf_margin_t,R,2018,1511,1356,155,0.055608900130882946,-0.0665265417720188,0.12549636565649847,10.258107213765719
ocf_margin_t,R,2019,1638,1478,160,0.06019950531677565,-0.08040209904352676,0.13346982535477045,9.768009768009769
ocf_margin_t,R,2020,1688,1566,122,0.07464544453001334,-0.08437137910890757,0.15375003751737376,7.2274881516587675
asset_turnover_t,R,2011,1907,1799,108,0.9091283787833768,0.5533654336434767,1.452675265564392,5.663345568956476
asset_turnover_t,R,2012,2311,1978,333,0.9107952340347631,0.5473496344927271,1.456370713133771,14.409346603202078
asset_turnover_t,R,2013,2393,2201,192,0.8756282071628843,0.5202283144512669,1.4409992875662017,8.023401587964898
asset_turnover_t,R,2014,2300,2187,113,0.8517738898489414,0.499026448407098,1.403234579308315,4.913043478260869
asset_turnover_t,R,2015,2241,2119,122,0.8494519858962336,0.4790691898302072,1.4059212422658345,5.443998215082552
asset_turnover_t,R,2016,2133,2042,91,0.8357419333519753,0.47974433843188286,1.3666371851075791,4.26629160806376
asset_turnover_t,R,2017,1549,1441,108,0.9032804499908528,0.5168863747952483,1.4656285032662777,6.972240154938671
asset_turnover_t,R,2018,1511,1357,154,0.920311318410794,0.4880207860836433,1.4860358804372578,10.191925876902713
asset_turnover_t,R,2019,1638,1480,158,0.8575615879953358,0.4694869020790767,1.3531258438685887,9.645909645909647
asset_turnover_t,R,2020,1688,1568,120,0.7232731692355605,0.41125883234551647,1.1777591905948215,7.109004739336493
revenue_growth_1y,R,2011,1907,1775,132,0.115539188007022,0.02100540820542665,0.2625850312664423,6.92186680650236
revenue_growth_1y,R,2012,2311,1820,491,0.06853417152111635,-0.0189951857540588,0.2036013579713429,21.246213760276937
revenue_growth_1y,R,2013,2393,1813,580,0.0623026866825591,-0.0245022285230282,0.182620652826914,24.237358963643963
revenue_growth_1y,R,2014,2300,1889,411,0.0730211023542579,-0.0097836985321374,0.2277987146749189,17.869565217391305
revenue_growth_1y,R,2015,2241,1834,407,0.0362792514294166,-0.06711175239347295,0.19477782423770085,18.16153502900491
revenue_growth_1y,R,2016,2133,1739,394,0.0308154733296528,-0.0739321947563525,0.18054707239650197,18.47163619315518
revenue_growth_1y,R,2017,1549,1269,280,0.0703292933086255,-0.0092949944541379,0.228218128291618,18.076178179470624
revenue_growth_1y,R,2018,1511,1159,352,0.0959238746408069,0.0128082914809401,0.2275903882654854,23.295830575777632
revenue_growth_1y,R,2019,1638,1256,382,0.044060038431505355,-0.039012812295059,0.19553937507962946,23.32112332112332
revenue_growth_1y,R,2020,1688,1338,350,-0.01016967550520125,-0.13858004451254816,0.1496899381889117,20.734597156398106
