dimension,group,observations,x_core_available,x_core_coverage,target_available,target_coverage,supervised_L_available,supervised_L_coverage
historical_sic,2750.0,113,83,0.7345132743362832,49,0.4336283185840708,45,0.39823008849557523
historical_sic,2761.0,15,11,0.7333333333333333,11,0.7333333333333333,9,0.6
historical_sic,2771.0,13,11,0.8461538461538461,6,0.46153846153846156,5,0.38461538461538464
historical_sic,2780.0,26,24,0.9230769230769231,18,0.6923076923076923,18,0.6923076923076923
historical_sic,2790.0,12,10,0.8333333333333334,7,0.5833333333333334,6,0.5
historical_sic,2800.0,186,163,0.8763440860215054,116,0.6236559139784946,115,0.6182795698924731
historical_sic,2810.0,140,130,0.9285714285714286,93,0.6642857142857143,91,0.65
historical_sic,2820.0,70,62,0.8857142857142857,40,0.5714285714285714,40,0.5714285714285714
historical_sic,2821.0,173,144,0.8323699421965318,104,0.6011560693641619,102,0.5895953757225434
historical_sic,2833.0,299,224,0.7491638795986622,129,0.431438127090301,125,0.4180602006688963
historical_sic,2834.0,5260,4676,0.8889733840304183,1321,0.2511406844106464,1294,0.24600760456273765
historical_sic,2835.0,299,243,0.8127090301003345,94,0.31438127090301005,93,0.3110367892976589
historical_sic,2836.0,1295,1158,0.8942084942084942,365,0.28185328185328185,355,0.27413127413127414
historical_sic,2840.0,66,56,0.8484848484848485,36,0.5454545454545454,36,0.5454545454545454
historical_sic,2842.0,54,45,0.8333333333333334,19,0.35185185185185186,19,0.35185185185185186
historical_sic,2844.0,268,216,0.8059701492537313,129,0.48134328358208955,128,0.47761194029850745
historical_sic,2851.0,65,56,0.8615384615384616,49,0.7538461538461538,49,0.7538461538461538
historical_sic,2860.0,560,460,0.8214285714285714,231,0.4125,223,0.3982142857142857
historical_sic,2870.0,199,154,0.7738693467336684,78,0.39195979899497485,77,0.3869346733668342
historical_sic,2890.0,176,151,0.8579545454545454,78,0.4431818181818182,74,0.42045454545454547
historical_sic,2891.0,25,22,0.88,13,0.52,11,0.44
historical_sic,2911.0,281,214,0.7615658362989324,52,0.18505338078291814,50,0.17793594306049823
historical_sic,2990.0,32,26,0.8125,20,0.625,20,0.625
historical_sic,3011.0,35,31,0.8857142857142857,27,0.7714285714285715,26,0.7428571428571429
historical_sic,3021.0,41,39,0.9512195121951219,26,0.6341463414634146,26,0.6341463414634146
historical_sic,3050.0,22,21,0.9545454545454546,16,0.7272727272727273,16,0.7272727272727273
historical_sic,3060.0,72,64,0.8888888888888888,57,0.7916666666666666,57,0.7916666666666666
historical_sic,3080.0,56,38,0.6785714285714286,21,0.375,19,0.3392857142857143
historical_sic,3081.0,55,42,0.7636363636363637,22,0.4,20,0.36363636363636365
historical_sic,3086.0,35,31,0.8857142857142857,23,0.6571428571428571,21,0.6
historical_sic,3089.0,185,166,0.8972972972972973,116,0.6270270270270271,114,0.6162162162162163
historical_sic,3100.0,61,52,0.8524590163934426,42,0.6885245901639344,41,0.6721311475409836
historical_sic,3140.0,78,73,0.9358974358974359,47,0.6025641025641025,47,0.6025641025641025
historical_sic,3211.0,12,11,0.9166666666666666,3,0.25,3,0.25
historical_sic,3220.0,21,19,0.9047619047619048,9,0.42857142857142855,8,0.38095238095238093
historical_sic,3221.0,20,20,1.0,19,0.95,19,0.95
historical_sic,3231.0,32,23,0.71875,18,0.5625,17,0.53125
historical_sic,3241.0,15,15,1.0,14,0.9333333333333333,14,0.9333333333333333
historical_sic,3250.0,1,1,1.0,0,0.0,0,0.0
historical_sic,3260.0,12,9,0.75,3,0.25,2,0.16666666666666666
historical_sic,3270.0,30,19,0.6333333333333333,14,0.4666666666666667,13,0.43333333333333335
historical_sic,3272.0,48,35,0.7291666666666666,21,0.4375,19,0.3958333333333333
historical_sic,3281.0,9,2,0.2222222222222222,0,0.0,0,0.0
historical_sic,3290.0,36,30,0.8333333333333334,23,0.6388888888888888,23,0.6388888888888888
historical_sic,3310.0,77,72,0.935064935064935,62,0.8051948051948052,60,0.7792207792207793
historical_sic,3312.0,133,127,0.9548872180451128,85,0.6390977443609023,85,0.6390977443609023
historical_sic,3317.0,39,34,0.8717948717948718,30,0.7692307692307693,29,0.7435897435897436
historical_sic,3320.0,4,4,1.0,2,0.5,2,0.5
historical_sic,3330.0,27,25,0.9259259259259259,13,0.48148148148148145,13,0.48148148148148145
historical_sic,3334.0,23,22,0.9565217391304348,6,0.2608695652173913,6,0.2608695652173913
historical_sic,3341.0,30,24,0.8,13,0.43333333333333335,12,0.4
historical_sic,3350.0,103,97,0.941747572815534,63,0.6116504854368932,63,0.6116504854368932
historical_sic,3357.0,49,49,1.0,40,0.8163265306122449,40,0.8163265306122449
historical_sic,3360.0,26,18,0.6923076923076923,18,0.6923076923076923,17,0.6538461538461539
