research_universe_company_year_id,cik10,feature_year,anchor_accession,primitive,tag,value,start,end,review_outcome
0001315061-2012,0001315061,2012,0001214659-13-001181,current_assets,AssetsCurrent,11952000.0,,2012-12-31,PASS_exact_companyfacts_record
0001315061-2012,0001315061,2012,0001214659-13-001181,current_liabilities,LiabilitiesCurrent,1006000.0,,2012-12-31,PASS_exact_companyfacts_record
0001315061-2012,0001315061,2012,0001214659-13-001181,net_income,NetIncomeLoss,1237000.0,2012-01-01,2012-12-31,PASS_exact_companyfacts_record
0001315061-2012,0001315061,2012,0001214659-13-001181,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,6633000.0,2012-01-01,2012-12-31,PASS_exact_companyfacts_record
0001371451-2018,0001371451,2018,0001371451-19-000006,assets,Assets,79546941.0,,2018-10-31,PASS_exact_companyfacts_record
0001371451-2018,0001371451,2018,0001371451-19-000006,liabilities,Liabilities,15249054.0,,2018-10-31,PASS_exact_companyfacts_record
0001371451-2018,0001371451,2018,0001371451-19-000006,current_assets,AssetsCurrent,10850002.0,,2018-10-31,PASS_exact_companyfacts_record
0001371451-2018,0001371451,2018,0001371451-19-000006,current_liabilities,LiabilitiesCurrent,8026683.0,,2018-10-31,PASS_exact_companyfacts_record
0001371451-2018,0001371451,2018,0001371451-19-000006,net_income,NetIncomeLoss,-6159424.0,2017-11-01,2018-10-31,PASS_exact_companyfacts_record
0001371451-2018,0001371451,2018,0001371451-19-000006,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,4393981.0,2017-11-01,2018-10-31,PASS_exact_companyfacts_record
0001401667-2013,0001401667,2013,0001193125-14-080183,assets,Assets,104374000.0,,2013-12-31,PASS_exact_companyfacts_record
0001401667-2013,0001401667,2013,0001193125-14-080183,liabilities,Liabilities,20387000.0,,2013-12-31,PASS_exact_companyfacts_record
0001401667-2013,0001401667,2013,0001193125-14-080183,current_assets,AssetsCurrent,96396000.0,,2013-12-31,PASS_exact_companyfacts_record
0001401667-2013,0001401667,2013,0001193125-14-080183,current_liabilities,LiabilitiesCurrent,19271000.0,,2013-12-31,PASS_exact_companyfacts_record
0001401667-2013,0001401667,2013,0001193125-14-080183,net_income,NetIncomeLoss,-54659000.0,2013-01-01,2013-12-31,PASS_exact_companyfacts_record
0001401667-2013,0001401667,2013,0001193125-14-080183,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,-55048000.0,2013-01-01,2013-12-31,PASS_exact_companyfacts_record
0001441849-2017,0001441849,2017,0001104659-18-010090,assets,Assets,1698701000.0,,2017-12-31,PASS_exact_companyfacts_record
0001441849-2017,0001441849,2017,0001104659-18-010090,liabilities,Liabilities,690892000.0,,2017-12-31,PASS_exact_companyfacts_record
0001441849-2017,0001441849,2017,0001104659-18-010090,current_assets,AssetsCurrent,270034000.0,,2017-12-31,PASS_exact_companyfacts_record
0001441849-2017,0001441849,2017,0001104659-18-010090,current_liabilities,LiabilitiesCurrent,119412000.0,,2017-12-31,PASS_exact_companyfacts_record
0001441849-2017,0001441849,2017,0001104659-18-010090,net_income,NetIncomeLoss,-6639000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0001441849-2017,0001441849,2017,0001104659-18-010090,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,52036000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0000059440-2014,0000059440,2014,0000059440-15-000009,assets,Assets,1573392000.0,,2014-12-31,PASS_exact_companyfacts_record
0000059440-2014,0000059440,2014,0000059440-15-000009,liabilities,Liabilities,1551340000.0,,2014-12-31,PASS_exact_companyfacts_record
0000059440-2014,0000059440,2014,0000059440-15-000009,current_assets,AssetsCurrent,857846000.0,,2014-12-31,PASS_exact_companyfacts_record
0000059440-2014,0000059440,2014,0000059440-15-000009,current_liabilities,LiabilitiesCurrent,270095000.0,,2014-12-31,PASS_exact_companyfacts_record
0000059440-2014,0000059440,2014,0000059440-15-000009,net_income,NetIncomeLoss,36978000.0,2014-01-01,2014-12-31,PASS_exact_companyfacts_record
0000059440-2014,0000059440,2014,0000059440-15-000009,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,107376000.0,2014-01-01,2014-12-31,PASS_exact_companyfacts_record
0000096223-2013,0000096223,2013,0000096223-14-000006,assets,Assets,47866781000.0,,2013-12-31,PASS_exact_companyfacts_record
0000096223-2013,0000096223,2013,0000096223-14-000006,liabilities,Liabilities,37327653000.0,,2013-12-31,PASS_exact_companyfacts_record
