historical_sic,historical_sic_description,company_years,unique_ciks
3677.0,"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS",24,2
4581.0,"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES",23,4
5094.0,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS",23,8
2611.0,PULP MILLS,22,3
2673.0,"PLASTICS, FOIL & COATED PAPER BAGS",22,5
3221.0,GLASS CONTAINERS,22,2
3695.0,MAGNETIC & OPTICAL RECORDING MEDIA,22,3
8900.0,"SERVICES-SERVICES, NEC",22,8
2052.0,COOKIES & CRACKERS,21,2
2421.0,"SAWMILLS & PLANTING MILLS, GENERAL",21,3
3220.0,"GLASS & GLASSWARE, PRESSED OR BLOWN",21,4
3824.0,TOTALIZING FLUID METERS & COUNTING DEVICES,21,3
8300.0,SERVICES-SOCIAL SERVICES,21,7
3448.0,PREFABRICATED METAL BUILDINGS & COMPONENTS,20,3
3241.0,"CEMENT, HYDRAULIC",19,3
3942.0,DOLLS & STUFFED TOYS,19,3
2520.0,OFFICE FURNITURE,18,3
2631.0,PAPERBOARD MILLS,18,3
3715.0,TRUCK TRAILERS,18,2
2590.0,MISCELLANEOUS FURNITURE & FIXTURES,17,3
2761.0,MANIFOLD BUSINESS FORMS,17,2
8111.0,SERVICES-LEGAL SERVICES,17,2
3524.0,LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP,16,2
5412.0,RETAIL-CONVENIENCE STORES,15,3
5735.0,RETAIL-RECORD & PRERECORDED TAPE STORES,15,2
3211.0,FLAT GLASS,14,2
3260.0,POTTERY & RELATED PRODUCTS,14,1
3579.0,"OFFICE MACHINES, NEC",14,1
8351.0,SERVICES-CHILD DAY CARE SERVICES,14,2
2771.0,GREETING CARDS,13,2
5050.0,WHOLESALE-METALS & MINERALS (NO PETROLEUM),13,4
2452.0,PREFABRICATED WOOD BLDGS & COMPONENTS,12,4
2790.0,SERVICE INDUSTRIES FOR THE PRINTING TRADE,12,4
3412.0,"METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS",11,1
3555.0,PRINTING TRADES MACHINERY & EQUIPMENT,11,3
4220.0,PUBLIC WAREHOUSING & STORAGE,11,6
2600.0,PAPERS & ALLIED PRODUCTS,10,2
3911.0,"JEWELRY, PRECIOUS METAL",10,3
7385.0,SERVICES-TELEPHONE INTERCONNECT SYSTEMS,10,4
2092.0,PREPARED FRESH OR FROZEN FISH & SEAFOODS,9,2
3281.0,CUT STONE & STONE PRODUCTS,9,2
3444.0,SHEET METAL WORK,9,3
4013.0,RAILROAD SWITCHING & TERMINAL ESTABLISHMENTS,9,1
4100.0,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS,8,4
5064.0,"WHOLESALE-ELECTRICAL APPLIANCES, TV & RADIO SETS",8,1
7384.0,SERVICES-PHOTOFINISHING LABORATORIES,8,1
3532.0,MINING MACHINERY & EQUIP (NO OIL & GAS FIELD MACH & EQUIP),7,2
3931.0,MUSICAL INSTRUMENTS,7,3
3452.0,"BOLTS, NUTS, SCREWS, RIVETS & WASHERS",5,1
5399.0,RETAIL-MISC GENERAL MERCHANDISE STORES,5,2
7377.0,SERVICES-COMPUTER RENTAL & LEASING,5,2
2253.0,KNIT OUTERWEAR MILLS,4,1
2732.0,BOOK PRINTING,4,1
3320.0,IRON & STEEL FOUNDRIES,4,1
2540.0,"PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES",3,1
3567.0,INDUSTRIAL PROCESS FURNACES & OVENS,3,1
3950.0,"PENS, PENCILS & OTHER ARTISTS' MATERIALS",2,1
7829.0,SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION,2,2
3250.0,STRUCTURAL CLAY PRODUCTS,1,1
3960.0,COSTUME JEWELRY & NOVELTIES,1,1
5082.0,WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP,1,1
